week_end,composite_nominal,markets_used,price_jaen,price_bari,price_chania,hicp,composite_real,real_smoothed,z,score_b,crop_year,score_a,coverage_ratio,index,light
2022-10-02,405.1798,"jaen,bari,chania",395.2900,508.0000,325.0000,115.9624,349.4061,354.3644,1.0953,23.0000,2022,0.0000,0.1839,10.0000,red
2022-10-09,423.7300,"jaen,bari,chania",416.5000,508.0000,355.0000,115.9624,365.4028,356.5260,1.1585,21.0000,2022,0.0000,0.1839,9.0000,red
2022-10-16,444.4500,"jaen,bari,chania",442.5000,531.0000,355.0000,115.9624,383.2706,361.6295,1.2878,18.0000,2022,0.0000,0.1839,8.0000,red
2022-10-23,461.8800,"jaen,bari,chania",459.0000,540.0000,385.0000,115.9624,398.3014,374.3367,1.5875,10.0000,2022,0.0000,0.1839,4.0000,red
2022-10-30,469.0100,"jaen,bari,chania",470.5000,540.0000,385.0000,115.9624,404.4499,390.7860,1.9699,1.0000,2022,0.0000,0.1839,0.0000,red
2022-11-06,477.1600,"jaen,bari,chania",472.0000,550.0000,414.0000,115.8858,411.7502,401.3756,2.2160,0.0000,2022,0.0000,0.1839,0.0000,red
2022-11-13,484.0700,"jaen,bari,chania",472.5000,583.0000,414.0000,115.8858,417.7130,408.1001,2.3666,0.0000,2022,0.0000,0.1839,0.0000,red
2022-11-20,483.8300,"jaen,bari,chania",471.5000,593.0000,405.0000,115.8858,417.5059,414.6281,2.4999,0.0000,2022,0.0000,0.1839,0.0000,red
2022-11-27,489.0200,"jaen,bari,chania",476.0000,605.0000,405.0000,115.8858,421.9844,417.6094,2.5448,0.0000,2022,0.0000,0.1839,0.0000,red
2022-12-04,513.6500,"jaen,bari,chania",502.5000,610.0000,445.0000,115.4738,444.8195,419.8487,2.5686,0.0000,2022,0.0000,0.1839,0.0000,red
2022-12-11,528.4100,"jaen,bari,chania",520.5000,610.0000,465.0000,115.4738,457.6017,433.4020,2.8303,0.0000,2022,0.0000,0.1839,0.0000,red
2022-12-18,530.8300,"jaen,bari,chania",521.5000,610.0000,475.0000,115.4738,459.6974,451.2106,3.1630,0.0000,2022,0.0000,0.1839,0.0000,red
2022-12-25,531.8800,"jaen,bari,chania",529.0000,610.0000,455.0000,115.4738,460.6067,458.6495,3.2591,0.0000,2022,0.0000,0.1839,0.0000,red
2023-01-01,531.8800,"jaen,bari,chania",529.0000,610.0000,455.0000,115.2343,461.5641,460.1520,3.2280,0.0000,2022,0.0000,0.1839,0.0000,red
2023-01-08,531.8800,"jaen,bari,chania",529.0000,610.0000,455.0000,115.2343,461.5641,461.0854,3.1885,0.0000,2022,0.0000,0.1839,0.0000,red
2023-01-15,530.9500,"jaen,bari,chania",527.5000,610.0000,455.0000,115.2343,460.7571,461.1606,3.1365,0.0000,2022,0.0000,0.1839,0.0000,red
2023-01-22,539.8200,"jaen,bari,chania",536.0000,610.0000,475.0000,115.2343,468.4544,461.5641,3.0933,0.0000,2022,0.0000,0.1839,0.0000,red
2023-01-29,527.7600,"jaen,bari,chania",518.0000,610.0000,470.0000,115.2343,457.9888,461.1606,3.0364,0.0000,2022,0.0000,0.1839,0.0000,red
2023-02-05,527.7600,"jaen,bari,chania",518.0000,610.0000,470.0000,116.1636,454.3246,459.3729,2.9552,0.0000,2022,0.0000,0.1839,0.0000,red
2023-02-12,525.9600,"jaen,bari,chania",518.0000,610.0000,460.0000,116.1636,452.7750,456.1567,2.8506,0.0000,2022,0.0000,0.1839,0.0000,red
2023-02-19,529.5900,"jaen,bari,chania",524.5000,608.0000,460.0000,116.1636,455.8999,455.1123,2.7903,0.0000,2022,0.0000,0.1839,0.0000,red
2023-02-26,527.1900,"jaen,bari,chania",524.5000,605.0000,450.0000,116.1636,453.8339,454.0792,2.7319,0.0000,2022,0.0000,0.1839,0.0000,red
2023-03-05,527.7200,"jaen,bari,chania",526.0000,603.0000,450.0000,117.2176,450.2055,453.3045,2.6786,0.0000,2022,0.0000,0.1839,0.0000,red
2023-03-12,527.6900,"jaen,bari,chania",524.5000,603.0000,455.0000,117.2176,450.1799,452.0197,2.6157,0.0000,2022,0.0000,0.1839,0.0000,red
2023-03-19,530.4200,"jaen,bari,chania",526.0000,603.0000,465.0000,117.2176,452.5089,451.3572,2.5644,0.0000,2022,0.0000,0.1839,0.0000,red
2023-03-26,526.0800,"jaen,bari,chania",519.0000,603.0000,465.0000,117.2176,448.8064,450.1927,2.5057,0.0000,2022,0.0000,0.1839,0.0000,red
2023-04-02,525.2400,"jaen,bari,chania",517.0000,605.0000,465.0000,117.9649,445.2510,449.4931,2.4566,0.0000,2022,0.0000,0.1839,0.0000,red
2023-04-09,530.1400,"jaen,bari,chania",522.0000,605.0000,475.0000,117.9649,449.4047,449.1055,2.4143,0.0000,2022,0.0000,0.1839,0.0000,red
